date,split,mrr,opex,net_income,headcount,mrr_pess,mrr_base,mrr_opt
2022-01,history,47833.23,70140.43,-22307.2,6.0,,,
2022-02,history,45843.78,61038.73,-15194.95,6.0,,,
2022-03,history,54596.27,73728.45,-19132.18,6.3,,,
2022-04,history,57381.04,82418.47,-25037.43,7.2,,,
2022-05,history,51343.38,80148.89,-28805.52,7.5,,,
2022-06,history,56435.75,80282.38,-23846.62,7.7,,,
2022-07,history,63255.03,86238.52,-22983.49,7.5,,,
2022-08,history,65013.12,89457.13,-24444.01,8.2,,,
2022-09,history,71694.19,96818.9,-25124.71,8.4,,,
2022-10,history,75944.31,111167.04,-35222.73,10.1,,,
2022-11,history,88176.29,127570.47,-39394.18,10.9,,,
2022-12,history,95915.72,124266.19,-28350.47,11.2,,,
2023-01,history,89649.66,126205.48,-36555.83,11.9,,,
2023-02,history,102702.64,137820.33,-35117.69,12.2,,,
2023-03,history,113731.23,144968.55,-31237.32,12.9,,,
2023-04,history,120276.88,157645.2,-37368.33,13.6,,,
2023-05,history,134858.45,155784.94,-20926.48,13.3,,,
2023-06,history,141897.78,164581.89,-22684.11,14.3,,,
2023-07,history,155341.86,176164.3,-20822.44,14.8,,,
2023-08,history,159793.72,170133.66,-10339.94,15.2,,,
2023-09,history,170724.77,180470.36,-9745.59,15.9,,,
2023-10,history,180072.2,193207.03,-13134.83,17.2,,,
2023-11,history,194236.73,192408.52,1828.22,16.8,,,
2023-12,history,197798.41,204351.34,-6552.94,18.4,,,
2024-01,history,177565.73,203284.19,-25718.45,17.8,,,
2024-02,history,185403.64,210909.92,-25506.28,18.8,,,
2024-03,history,199092.52,215805.75,-16713.23,19.4,,,
2024-04,history,203347.03,222928.84,-19581.81,20.0,,,
2024-05,history,207795.95,234278.86,-26482.91,20.5,,,
2024-06,history,211772.83,243317.84,-31545.02,21.0,,,
2024-07,history,216424.72,247022.7,-30597.98,21.0,,,
2024-08,history,207978.64,254192.42,-46213.78,21.4,,,
2024-09,history,212780.41,252632.0,-39851.59,22.4,,,
2024-10,history,216831.42,248720.8,-31889.38,22.4,,,
2024-11,history,223865.12,244756.25,-20891.12,22.4,,,
2024-12,history,228025.62,260489.67,-32464.05,22.9,,,
2025-01,forecast,,,,,226272.23,233114.0,240119.06
2025-02,forecast,,,,,227849.36,237598.16,245360.31
2025-03,forecast,,,,,232449.94,244290.7,252619.03
2025-04,forecast,,,,,234619.41,248977.44,258750.61
2025-05,forecast,,,,,237201.47,250678.17,263399.69
2025-06,forecast,,,,,236948.28,252867.61,266152.84
2025-07,forecast,,,,,237239.55,257012.03,272818.41
2025-08,forecast,,,,,238308.94,258258.77,274710.72
2025-09,forecast,,,,,234076.12,255566.98,273860.5
2025-10,forecast,,,,,231598.05,254441.22,275373.47
2025-11,forecast,,,,,236554.72,260435.73,280756.22
2025-12,forecast,,,,,234154.73,262124.81,284105.56
